0	13.222560	21.539148	16.529069	
1	13.276801	22.109277	16.599180	
2	13.323986	22.254623	16.787079	
3	13.174091	22.080045	16.922048	
4	13.560641	22.336718	17.245343	
5	13.747680	22.596903	17.511682	
6	13.474394	22.453762	17.710527	
7	13.411263	22.748731	17.958346	
8	13.926166	22.297282	18.125947	
9	13.702421	22.241775	18.197211	
10	14.011009	22.450623	18.352608	
11	13.963457	22.452331	18.636079	
12	14.091854	23.018284	18.720510	
13	14.194462	22.968700	18.952505	
14	14.385501	22.902451	19.120836	
15	14.182185	23.299357	19.186517	
16	14.516407	23.448385	19.238780	
17	14.592811	23.452979	19.353397	
18	14.631665	23.580043	19.500347	
19	14.394481	23.767195	19.625565	
20	14.683741	23.767195	19.821021	
21	14.781570	23.511194	19.791736	
22	15.321427	23.515616	19.880362	
23	15.137575	23.740855	19.734780	
24	15.192018	23.703983	19.757930	
25	14.906553	23.422581	19.698493	
26	14.702296	23.549278	19.689698	
27	14.851493	23.285620	19.809860	
28	14.756732	23.541664	19.899465	
29	15.015991	24.736522	20.041611	
30	14.933369	24.409796	20.261958	
31	15.473469	24.540279	20.449996	
32	15.353574	24.489672	20.574835	
33	15.622513	24.536418	20.752771	
34	15.227562	24.513858	20.820937	
35	15.295063	24.513858	21.101525	
36	15.476772	24.544754	21.180954	
37	15.363186	24.657055	21.491414	
38	16.151567	24.784146	21.513109	
39	16.074210	24.784146	21.566495	
40	16.255157	24.888137	21.637790	
41	16.299860	24.885252	21.749946	
42	16.232020	24.885252	21.883191	
43	16.838938	24.885252	21.978627	
44	16.583690	24.681838	21.899936	
45	17.214235	24.681838	21.979170	
46	16.934401	24.905203	22.021176	
47	17.101974	25.557970	22.098559	
48	17.274765	24.992307	22.223717	
49	17.210436	24.992307	22.184487	
50	17.411633	25.023204	22.351385	
51	17.841678	25.023204	22.431788	
52	17.606941	25.023204	22.483839	
53	16.813828	25.077882	22.556526	
54	16.633542	25.077882	22.661541	
55	17.615541	25.077882	22.763626	
56	18.268234	25.481981	22.741930	
57	18.343461	25.077882	22.761120	
58	18.005847	25.282803	22.715874	
59	17.760619	25.648859	22.817474	
60	18.340406	25.173619	22.904523	
61	18.062579	25.195396	22.862569	
62	17.547287	25.539676	23.067078	
63	17.968716	25.056560	23.139060	
64	18.223206	25.099158	23.186344	
65	18.195425	25.710479	23.372319	
66	18.772258	25.710479	23.428927	
67	18.528620	25.710479	23.470783	
68	19.759657	25.600114	23.466199	
69	19.843220	25.616969	23.513091	
70	19.423643	25.616969	23.586326	
71	19.558658	25.616969	23.678947	
72	19.708439	25.616969	23.655374	
73	19.152439	25.902422	23.699519	
74	19.029722	25.902422	23.722183	
75	18.641357	25.721719	23.706625	
76	19.079454	25.616969	23.840590	
77	18.159700	25.757511	23.861882	
78	19.348496	25.757511	24.000595	
79	19.478892	25.799250	24.122901	
80	18.940048	25.799250	24.105913	
81	19.254086	25.799250	24.006092	
82	18.257125	25.799250	23.997078	
83	17.380224	25.517738	23.902314	
84	17.498654	25.564152	23.937394	
85	18.762265	25.564152	23.971973	
86	20.322386	25.354901	24.029672	
87	20.538607	25.377196	24.069531	
88	18.847693	25.564152	24.046182	
89	18.589926	25.564152	24.074073	
90	20.998314	25.564152	24.194161	
91	20.680456	25.668902	24.193516	
92	19.946418	25.668902	24.249305	
93	20.894083	25.681252	24.296479	
94	18.037534	25.681252	24.228647	
95	19.959974	25.576503	24.298123	
96	19.732722	25.564152	24.238830	
97	19.360662	25.564152	24.198576	
98	19.661655	25.627164	24.162375	
99	19.366031	25.627164	24.214452	
100	18.980047	25.627164	24.170998	
101	18.837985	25.627164	24.244890	
102	18.765647	25.616969	24.223346	
103	18.296039	25.616969	24.281838	
104	19.290300	25.564152	24.328423	
105	20.074230	25.548282	24.328439	
106	19.204602	25.564152	24.352667	
107	20.070132	25.593994	24.350324	
108	19.803852	25.593994	24.333444	
109	19.797099	25.746061	24.314360	
110	18.964990	25.593994	24.296540	
111	18.875582	25.651505	24.305150	
112	18.277250	25.651505	24.259117	
113	19.697852	25.522414	24.204534	
114	19.733600	25.840243	24.199150	
115	19.696920	25.522414	24.218254	
116	20.017912	25.522414	24.314869	
117	21.810410	25.522414	24.442856	
118	21.541841	25.522414	24.435310	
119	19.495786	25.706374	24.334070	
120	19.674525	25.706374	24.374137	
121	18.924313	25.574882	24.418603	
122	20.418649	25.574882	24.548102	
123	20.583582	25.574882	24.549792	
124	19.702670	25.849876	24.440612	
125	20.183810	26.148828	24.545849	
126	19.809144	26.301607	24.566761	
127	20.070938	26.301607	24.654273	
128	20.624302	26.301607	24.712959	
129	19.543556	26.301607	24.729578	
130	19.556767	26.301607	24.754024	
131	19.556767	26.301607	24.694941	
132	20.710919	26.406054	24.692563	
133	20.897473	26.406054	24.729405	
134	20.897473	26.209533	24.730103	
135	19.711052	26.209533	24.721833	
136	18.846252	26.209533	24.708998	
137	19.169528	26.209533	24.810246	
138	19.169528	26.209533	24.864656	
139	20.277464	26.374663	24.907047	
140	20.772881	26.278292	24.907585	
141	21.079305	26.278292	24.957471	
142	20.453949	26.417550	24.962795	
143	19.082520	26.362313	24.896782	
144	21.336696	26.348792	24.966769	
145	20.178560	26.348792	24.877191	
146	19.853606	26.348792	24.783111	
147	19.141744	26.348792	24.897758	
148	19.032880	26.348792	24.998787	
149	19.289833	26.348792	25.152604	
150	19.184120	26.552693	25.245787	
151	20.357021	27.108512	25.329412	
152	19.797961	26.906660	25.398215	
153	19.758050	26.906660	25.372404	
154	19.204681	26.767402	25.304625	
